id,xcentral,ycentral
0,152,167
1,153,168
2,150,168
3,152,168
4,153,158
5,156,136
6,157,129
7,154,126
8,156,134
9,158,155
10,157,180
11,156,184
12,158,168
13,159,141
14,160,131
15,160,122
16,158,124
17,155,134
18,158,144
19,159,160
20,159,173
21,161,160
22,165,138
23,165,132
24,171,141
25,179,154
26,195,156
27,264,170
28,285,180
29,273,174
30,233,163
31,140,155
32,67,164
33,45,168
34,69,155
35,125,148
36,189,149
37,260,166
38,291,178
39,286,175
40,256,163
41,211,155
42,154,150
43,90,155
44,55,160
45,60,156
46,117,145
47,171,147
48,241,159
49,272,168
50,251,163
51,214,153
52,158,135
53,154,128
54,158,120
55,160,133
56,160,156
57,161,177
58,164,164
59,167,134
60,158,128
61,149,131
62,146,124
63,195,122
64,213,137
65,190,160
66,136,172
67,78,177
68,54,169
69,64,148
70,96,126
71,137,119
72,198,122
73,230,130
74,234,154
75,207,165
76,165,174
77,100,177
78,57,164
79,52,151
80,77,129
81,122,118
82,164,119
83,197,121
84,180,116
85,109,126
86,61,146
87,69,168
88,93,180
89,150,182
90,214,183
91,256,174
92,258,164
93,225,141
94,157,122
95,99,130
96,63,152
97,70,175
98,124,179
99,197,185
100,248,181
101,271,165
102,230,140
103,179,127
104,83,137
105,132,126
106,179,131
107,228,142
108,228,143
109,189,139
110,124,141
111,80,149
112,90,143
113,131,137
114,150,138
115,160,143
116,156,166
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
